名称,描述,作者/出版社/价格,评分,评分人数
精益数据分析,本书展示了如何验证自己的设想、找到真正的客户、打造能赚钱的产品，以及提升企业知名度。30多个案例分析，全球100多位知名企业家的真知灼见，为你呈现来之不易、... ,            [加] 阿利斯泰尔·克罗尔、[加] 本杰明·尤科维奇 / 韩知白、王鹤达 / 人民邮电出版社 / 2014-12 / 79.00元      ,8.3,        (861人评价)    
从零开始做运营,"运营是什么？怎样做运营？产品和运营是什么关系？我是否适合从事互联网运营？为什么我做的运营活动收效甚微？
在互联网大热的今天，互联网运营成为一个越来越重要的岗... ",            张亮 / 中信出版社 / 2015-11-1 / 49.00元      ,7.4,        (2509人评价)    
奈飞文化手册,一本对奈飞文化进行深入解读的力作。2009年，奈飞公开发布了一份介绍企业文化的PPT文件，在网上累计下载量超过1500万次，被Facebook的CFO谢丽尔... ,            [美] 帕蒂·麦考德 / 范珂 / 浙江教育出版社 / 2018-10 / 69      ,8.1,        (2505人评价)    
认知盈余,"“互联网革命最伟大的思考者”克莱•舍基 继《未来是湿的》之后最新力作
看自由时间如何变革世界的未来
如果说《未来是湿的》揭示的是“无组织的组织力量”，
那么... ",            [美] 克莱·舍基 / 胡泳、哈丽丝 / 中国人民大学出版社 / 2011-12 / 49.80元      ,7.1,        (2294人评价)    
浅薄,互联网时代的飞速发展带来了各行各业效率的提升和生活的便利，但卡尔指出，当我们每天在翻看手机上的社交平台，阅读那些看似有趣和有深度的文章时，在我们尽情享受互联... ,            [美]尼古拉斯·卡尔 / 刘纯毅 / 中信出版社 / 2015-11 / 49.00 元      ,7.9,        (391人评价)    
谷歌方法,"继《重新定义公司》《重新定义团队》之后，谷歌重磅作品《谷歌方法》强势来袭。
作为全球顶级的科技公司之一，谷歌成功的核心方法在于吸引创意精英、提供平台、打造卓... ",            【美】比尔•基尔迪（Bill Kilday） / 夏瑞婷 / 中信出版集团 / 2019-6 / 69.80      ,8.2,        (123人评价)    
Python编程,本书是一本针对所有层次的Python 读者而作的Python 入门书。全书分两部分：第一部分介绍用Python 编程所必须了解的基本概念，包括matplot... ,            [美]埃里克·马瑟斯 / 袁国忠 / 人民邮电出版社 / 2016-7-1 / CNY 89.00      ,9.1,        (2045人评价)    
人人都是产品经理2.0,《人人都是产品经理2.0——写给泛产品经理》继续定位在-1~3 岁的产品经理。这里特别要强调，“-1 岁”指的是“泛产品经理”群体，比如自认为是“产品新人”... ,            苏杰 / 电子工业出版社 / 2017-5 / 66.6      ,8.2,        (566人评价)    
刷新,"《刷新：重新发现商业与未来》是微软CEO萨提亚•纳德拉首部作品。
互联网时代的霸主微软，曾经错失了一系列的创新机会。但是在智能时代，这家科技公司上演了一次出... ",            [美] 萨提亚·纳德拉 / 陈召强、杨洋 / 中信出版集团 / 2018-1 / 58      ,7.4,        (1451人评价)    
数学之美,几年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... ,            吴军 / 人民邮电出版社 / 2012-5-1 / 45.00元      ,8.7,        (9638人评价)    
我不是产品经理,移动互联网商业模式下的用户增长，本质上就是更低成本地获取用户，更高效率地实现商业变现，并在获取用户成本与商业变现之间取到一个好的ROI。目前用户增长团队已经... ,            岳建雄 主编 / 电子工业出版社 / 2019-5 / 69元      ,7.0,        (161人评价)    
创业维艰,本·霍洛维茨，硅谷顶级投资人，与网景之父马克·安德森联手合作18年，有着丰富的创业和管理经验。2009年创立风险投资公司A16Z，被外媒誉为“硅谷最牛的50... ,            本·霍洛维茨 Ben Horowitz / 杨晓红、钟莉婷 / 中信出版社 / 2015-2 / 49      ,8.3,        (7173人评价)    
跨越鸿沟,"在真正涉足高科技领域之前，你有必要读一读这本书——在这个节奏飞快、竞争激烈的技术竞技场上，这本书绝对能够帮助你更容易地获得成功。
——威廉姆·劳森 罗盛软件... ",            [美] 杰弗里·摩尔(Geoffrey A. Moore) / 赵娅 / 机械工业出版社 / 2009-1 / 36.00元      ,8.4,        (531人评价)    
你凭什么做好互联网,"为什么有人可以预见商机、超越景气，在不确定环境下表现更出色？
在规则之外，做好互联网，还有哪些关键秘诀？
当环境不给机会，你靠什么翻身？
本书为“互联网百晓... ",            曹政 / 中国友谊出版公司 / 2016-12 / 42.00元      ,8.1,        (805人评价)    
创新者的窘境,"管理类经典图书
o 被《福布斯》评为20世纪最具影响的20本商业图书之一
o “全球商业书籍奖”获奖图书
“颠覆大师”克莱顿•克里斯坦森经典力作。
《金融时... ",            克莱顿•克里斯坦森( Clayton M. Christensen ) / 胡建桥 / 中信出版社 / 2010-6 / 38.00元      ,8.5,        (2378人评价)    
企业IT架构转型之道：阿里巴巴中台战略思想与架构实战,在当今整个中国社会都处于互联网转型的浪潮中，不管是政府职能单位、业务规模庞大的央企，还是面临最激烈竞争的零售行业都处于一个重要的转折点，这个转折对企业业务模... ,            钟华 / 机械工业出版社 / 2017-4-1 / 79      ,8.2,        (589人评价)    
数学之美 （第二版）,几年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... ,            吴军 / 人民邮电出版社 / 2014-11 / 49.00元      ,8.9,        (3345人评价)    
暗网,"全面深入揭秘“黑暗版淘宝”暗网的幕后世界和操纵者
现实中所有的罪恶，在暗网中，都是明码标价的商品。
暗杀、色情、恋童癖、比特币犯罪、毒品交易……
TED演讲... ",            杰米·巴特利特 / 刘丹丹 / 北京时代华文书局 / 2018-7 / 59.00      ,6.3,        (994人评价)    
欲罢不能,"全面揭秘和解决“行为上瘾”的奠基之作
美国亚马逊分类图书畅销榜第一名
行为上瘾是什么？诱人上瘾的体验是如何设计出来的？
如何远离行为上瘾？如何用行为上瘾做些... ",            [美] 亚当·奥尔特 / 闾佳 / 机械工业出版社 / 2018-4-1 / 59.00元      ,7.4,        (906人评价)    
颠覆者,"周鸿祎，一个在中国互联网历史上举足轻重的名字。他被认为是奠定当今中国互联网格局的人之一。
作为第一代互联网人，中国互联网行业最好的产品经理、创业者，他每时每... ",            周鸿祎、范海涛 / 北京联合出版公司 / 2017-11 / 49.80元      ,8.1,        (1769人评价)    
长尾理论,书中阐述，商业和文化的未来不在于传统需求曲线上那个代表“畅销商品”（hits）的头部； 而是那条代表“冷门商品”（misses）经常为人遗忘的长尾。 举例来... ,            [美] 克里斯·安德森 / 乔江涛 / 中信出版社 / 2006-12 / 35.00元      ,7.7,        (11662人评价)    
联盟,"在充满变化的世界，联盟潜在的合伙人
将不确定的行业转变为可掌控的职业生涯
与世界紧密连接，开创精彩的事业与未来
终生效忠于一家公司已经成为历史，我们正在经历... ",            里德•霍夫曼、本•卡斯诺查、克里斯•叶 / 路蒙佳 / 中信出版社 / 2015-2-5 / 39.00元      ,7.4,        (1763人评价)    
产品思维：从新手到资深产品人,"畅销书《从点子到产品》作者全新作品！
深度理解用户，实现用户价值，持续产品迭代，产品思维是每一个产品人的底层能力！
知乎224900人关注、446579次赞... ",            刘飞 / 中信出版集团 / 2019-6 / 59.8      ,7.3,        (150人评价)    
硅谷之谜,"这是一本颠覆人们对信息时代的认识、对创新和创业的理解的好书。作者吴军通过介绍硅谷成功的秘诀，揭示了信息时代的特点和方法论。
近年来，吴军从技术和管理人员变成... ",            吴军 / 人民邮电出版社 / 2015-12-1 / 59.00      ,8.4,        (1871人评价)    
互联网的误读,互联网的发展蔚为壮观。如今，全球的互联网用户达到20亿之众，约占世界人口的30%。这无疑是一个新的现象，对于当代各国的经济、政治和社会生活意义重大。有关互联... ,            詹姆斯•柯兰（James Curran）、娜塔莉•芬顿（Natalie Fenton）、德  斯•弗里德曼（Des Freedman） / 何道宽 / 中国人民大学出版社 / 2014-7-1 / 45.00      ,7.7,        (218人评价)    
数字化生存,《数字化生存》描绘了数字科技为我们的生活、工作、教育和娱乐带来的各种冲击和其中值得深思的问题，是跨入数字化新世界的*指南。英文版曾高居《纽约时报》畅销书排行... ,            Nicholas Negroponte / 胡泳、范海燕 / 电子工业出版社 / 2017-1-1 / 68.00      ,8.3,        (171人评价)    
硅谷钢铁侠,"◎全球首部埃隆•马斯克授权著作！了解埃隆•马斯克最全面、最真实、最经典读本
◎创业者必读。首次披露马斯克如何建立和运营PayPal、特斯拉、Space X、... ",            [美] 阿什利·万斯 / 周恒星 / 中信出版集团 / 2016-4 / 68.00元      ,8.1,        (6127人评价)    
浅薄,《浅薄：互联网如何毒化了我们的大脑》在我们跟计算机越来越密不可分的过程中，我们越来越多的人生体验通过电脑屏幕上闪烁摇曳、虚无缥缈的符号完成，最大的危险就是我... ,            [美] 尼古拉斯·卡尔 / 刘纯毅 / 中信出版社 / 2010-12 / 42.00元      ,7.6,        (2387人评价)    
用户体验要素,《用户体验要素:以用户为中心的产品设计(原书第2版)》是AJAX之父Jesse James Garrett的经典之作。本书用简洁的语言系统化地诠释了设计、技... ,            Jesse James Garrett / 范晓燕 / 机械工业出版社 / 2011-7-1 / 39.00元      ,8.3,        (2725人评价)    
数据化管理,《数据化管理：洞悉零售及电子商务运营》讲述了两个年轻人在大公司销售、商品、电商、数据等部门工作的故事，通过大量案例深入浅出地讲解了数据意识和零售思维。作者将... ,            黄成明 （@数据化管理） / 电子工业出版社 / 2014-7 / 59.90元      ,8.3,        (550人评价)    
网络是怎样连接的,本书以探索之旅的形式，从在浏览器中输入网址开始，一路追踪了到显示出网页内容为止的整个过程，以图配文，讲解了网络的全貌，并重点介绍了实际的网络设备和软件是如何... ,            [日]户根勤 / 周自恒 / 人民邮电出版社 / 2017-1-1 / CNY 49.00      ,9.1,        (704人评价)    
